cell_line	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F	C1C2CC3CC1CC(C2)(C3)C4=C(C=CC(=C4)C5=CC6=C(C=C5)C=C(C=C6)C(=O)O)O	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O	N.N.[Cl-].[Cl-].[Pt+2]
A172_CENTRAL_NERVOUS_SYSTEM	0.3429177258190787	0.2214514032849625	0.7404148023634493	0.5103692432471703	0.6243720218570055	0.7634500753954194
A204_SOFT_TISSUE	0.212208132795766	0.2047916019124893	0.7219079755096952	0.6907852324011	0.2608363929678245	0.8384777004639176
A2058_SKIN	0.5469758042942311	0.2739237120046225	0.6742259386620971	0.4688920991940469	0.1584072516794472	0.7048250254850157
A253_SALIVARY_GLAND	0.2531372025755845	0.2606319277844757	1.0313662558660537	0.5969958079137777	0.2392929918739744	0.680495517667238
A2780_OVARY	0.2730982965268821	0.1054601952524325	0.6221342452090067	0.438659367718167	0.3237779335259868	0.7748280061704246
A375_SKIN	0.0960822700590766	0.2289396517256056	0.7729886305503024	0.2754478290471741	0.3533406151333507	0.591534230765129
A388_SKIN	0.3193276810511193		0.8790617764703221		0.458135066254516	0.8545409525230812
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0435220295857357	0.0394539483606269	0.7114139105959877	0.0786660675460752	0.1335194147468172	0.3450338884133024
A427_LUNG	0.4581791029464732		0.8405184420452765	0.7379747809872405	0.1067921931477788	0.9267697500817438
A431_SKIN	0.0799547318470259		1.0471749989053432		0.1257405847561734	0.9100480903123628
A498_KIDNEY	0.8511011600875585	0.4993028296173655	0.9081986014461416	0.8401322463016521	0.8831642324631457	0.8946707509269565
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1106520734308645	0.2456447510028373	0.800038861528748	0.2835863359961012	0.1859222981394042	0.6004100958745098
A673_BONE	0.0672287572725799	0.1139383103967464	0.5765443860845116	0.2154985737403288	0.1967580581251222	0.3176215172455573
A704_KIDNEY	0.5092227312525766		0.8449117583242607	0.7037085883940388	1.0217061871988276	0.9092431609131026
ABC1_LUNG	0.3577667864309613		0.9800428085104932	0.6468308935401024	0.093268334318841	0.5734062825073949
ACCMESO1_PLEURA	0.9502274650746994	0.768264626727189	0.7809126518795565		0.6654069224983339	
ACHN_KIDNEY	0.2165481963514914	0.4303502685214965	0.901965606879144	0.2781301180614039	0.3585533293509562	0.6413990827538834
AGS_STOMACH	0.3864856600758221	0.3605806939329981	0.8230524575243677	0.5130889297694996	0.389799519138903	0.7719648105260223
ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1696399224852783		0.7101852321765527	0.2679127025622973	0.1590485791093268	0.6179451518308344
AM38_CENTRAL_NERVOUS_SYSTEM	0.1694535475596612		0.875120356233966	0.2568405035034528	0.2871752978523549	0.7314428655241973
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3866199758984412	0.5233680696578056	0.967840677076054	0.3773625587869108	0.4342401533250312	0.7440290191526181
AN3CA_ENDOMETRIUM	0.7815976624165929	0.5106189251572344	0.8629087605820257	0.9786572094992934	0.4519262316597726	0.8053881506109375
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0903784410367634		0.726111532737038	0.1711267640645212	0.2754220175730913	0.4842815764966495
ASH3_THYROID	0.5406800968478515		0.9497489410996426	0.5790926715556213	0.1914636111199026	0.8204264200705316
ASPC1_PANCREAS	0.7011596064317285	0.6545800965614565	0.9186932971927284	0.9484631404539324	0.8181738126841527	0.821731031819491
ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0401002917190905		0.9293658988252024	0.1933035415305996	0.0648015614046066	0.7247654836199161
BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0194074274108664		0.7881747083935973	0.1089789786141816		0.5622565813672559
BB49HNC_UPPER_AERODIGESTIVE_TRACT	0.5650946450764136		0.9516703230844537	0.6802787291803271	0.7929740491750634	0.8312189295518433
BB65RCC_KIDNEY	0.2284553023378963		0.9691620958274092		0.3908165534651454	0.3880060707131421
BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0579271432890937		0.9486596489224324	0.3166039853369525	0.1686558636479469	0.7336201958201563
BC3C_URINARY_TRACT	0.4509381453983455	0.5377464300596146	0.6439686895606869		0.6995321227723423	
BC3_PLEURA	0.3379607511670043				0.3082467007968767	
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.216751145034698					
BCPAP_THYROID	0.2569371429014267	0.3673299565662763	0.7352500841098119	0.6045637095076244	0.407678001113028	0.8463001333448893
BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3521137372753753		0.8424278654118595	0.4819451901925036	0.3009916581680129	0.8722805010381035
BE2M17_AUTONOMIC_GANGLIA	0.4950331354292047		1.020361968033247	0.611881314212687	0.6169117421330353	0.797888899841793
BECKER_CENTRAL_NERVOUS_SYSTEM	0.4900678925639914	0.4781175613329045	0.8716724401665347	0.5746979810854154	0.6038551910176588	0.7836502946824578
BEN_LUNG	0.7771451986693635	0.6064728503874914	1.0247877112550647		1.0572973951281417	0.6632936896403595
BFTC905_URINARY_TRACT	0.248152019351467	0.323534905091773	1.0258630180982091	0.3026059275800256	0.3309417720117999	0.4502793904526091
BFTC909_KIDNEY	0.2093579459295192	0.1939322696080153	0.8635475001972429	0.6339193344681135	0.4678396255715325	0.7299594036310781
BHT101_THYROID	0.4104765206315415	0.3253948407958264	0.7578015977024587	0.5153405666246125	0.4132570492905324	0.5422220174653425
BHY_UPPER_AERODIGESTIVE_TRACT	0.202373731258715	0.2753880223466103	0.8910314934038251		0.3881259640021643	0.7659207923472204
BICR16_UPPER_AERODIGESTIVE_TRACT	0.7771402215218643	0.4664991717321326	0.9049955965345629		0.7481648283840145	
BICR18_UPPER_AERODIGESTIVE_TRACT	0.3765690042122489	0.34175521976343	0.757708816264488		0.5290398433666177	
BICR22_UPPER_AERODIGESTIVE_TRACT	0.2961056934824949	0.2748512242414814	0.785900936284253	0.3205960948598678	0.5385538786135492	0.6316253759773323
BICR31_UPPER_AERODIGESTIVE_TRACT	0.5268157684054167	0.4991269869269789	0.7237895383528173		0.4406415662451181	
BICR56_UPPER_AERODIGESTIVE_TRACT	0.6465791661868542	0.5395843856168697	0.7823723055024985		0.602940256379303	
BICR6_UPPER_AERODIGESTIVE_TRACT	0.5585152610685173	0.3370205873692281	0.9031703646109384		0.5864800261722324	
BICR78_UPPER_AERODIGESTIVE_TRACT	0.4336263618372497		0.8505029802857977	0.7298090396504798	0.5442479273557068	0.7424775863724289
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0765086500925275	0.2323264309209192	1.0929188866694806	0.2166424394603701	0.5887876238508261	0.548421223530399
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.207599556456287	0.1328327009157633	0.6755816352289576		0.2157456159658044	
BT12_SOFT_TISSUE	0.658065735325313	0.6951707164267045	1.0227295195522532		0.7101023497507423	
BT16_SOFT_TISSUE	0.4145538817842965	0.2215079718586228	0.7308881733118662		0.6780142407945386	
BT474_BREAST	0.9908342310732317	0.6619735123206365	0.9006820371081083	1.0417318610354234	0.9573863600840856	1.0453565402200085
BT483_BREAST	0.940789307395378		0.9579177793766446	0.9117928407991158	0.8841059784356519	0.9398449243913324
BT549_BREAST	0.6987634391499002	0.5656911833500937	0.8841930729605432	0.7459596766279242	0.4749342425517355	0.8494766274496643
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2134347697410359	0.0780793996578276	0.3951449048239326	0.1226927617148484	0.145306966275811	0.3465404026149004
BXPC3_PANCREAS	0.3720369710053305	0.2120803299090499	0.9286795315641254	0.7608872587321329	0.6754020896514769	0.7585473464645733
C2BBE1_LARGE_INTESTINE	0.7648048729659634	0.5600114642828955	0.9662606045605115	0.8808100090860079	0.7525225389832575	0.8460490694143211
C32_SKIN	0.4040196900571673	0.3477282658940269	0.9199711612226108	0.5132428258639564	0.6773942847724586	0.6983889883576496
C33A_CERVIX	0.1953703732793895		0.9597669841038394	0.4176506425161966	0.1653562779543403	0.67518123164925
C3A_LIVER	0.3832533851731573		1.0131286538184372	0.7260996688661622	0.5198204686671506	0.9267386817005132
C4I_CERVIX	0.2617121263764051		0.91811091305802	0.7368680253371992	0.2340210024113856	0.8203297741960336
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3053998461197343	0.1153337988426683	0.7966420524263759	0.6622272146661531	0.4935256585930028	0.901816229239094
CA922_UPPER_AERODIGESTIVE_TRACT	0.157400264088224		0.920893981301696	0.4960722100107982	0.2120204558072398	0.7021256290812281
CADOES1_BONE	0.4120356293218599		0.756256978711956	0.1550790323485122		0.5522651889967275
CAKI2_KIDNEY	0.7710293672535532	0.722337553961631	0.9273862709214612		0.9763632939440282	
CAL120_BREAST	0.5611064451948268	0.9071032090849996	0.969055170007746	0.6748219630994038	0.7847303360643547	0.885740176392628
CAL12T_LUNG	0.5638643757837287	0.3546461345526965	0.8329403822273017		0.7148025297852051	0.9440763851628288
CAL148_BREAST	0.3120037241987363		0.6656510953034612	0.2731664505874122	0.2509861880456866	0.5703217630574365
CAL27_UPPER_AERODIGESTIVE_TRACT	0.2470355228487902	0.1849381378862041	0.6860384995917653	0.3864805120713084	0.4267810218383253	0.6329691447073886
CAL29_URINARY_TRACT	0.2564585662872219	0.2411216657792529	0.8739872378894907	0.3432635023536805	0.4094593559613769	0.7570181909939506
CAL33_UPPER_AERODIGESTIVE_TRACT	0.2308468358343221	0.2350471582938952	0.8219107368416302	0.372942682888417	0.2780946305122718	0.7378525617342329
CAL39_VULVA	0.5498574381264576		0.9786775531289416	0.3401154407466027	0.434767220057853	0.8319943651246565
CAL54_KIDNEY	0.3419104326462754	0.500003372428315	0.8333328448066784	0.4167007334757612	0.5097028772286912	0.705552449950179
CAL62_THYROID	0.2263959088343866	0.2285839579014511	0.7944429939536658	0.35734811470885	0.2952260549994753	0.7774383550053763
CAL851_BREAST	0.3925057009723963	0.3624226699964997	0.864038130951258	0.8062064808507987	0.4256425745211402	0.918391790687764
CALU3_LUNG	0.4050745699546028	0.3029151092412591	0.9089375241718344	0.6648204685379266	0.2442506868916061	0.9725259477272452
CAMA1_BREAST	0.6423253680591371	0.5528363255532283	0.8463125385621265	0.891476014570996	0.6514419668580328	0.7205249901503361
CAOV3_OVARY	0.2510518652124567	0.1763319010423613	0.5312308233325771		0.3769199977491362	
CAOV4_OVARY	0.6220519274215035		1.0678902351339812	0.5503786902311969	0.7614232439894649	0.8132700523484295
CAPAN1_PANCREAS	0.4889673901622142	0.4846170793770731	0.8600035123337132	0.4166443748299257	0.3630674704825732	0.7415608723739742
CAR1_LARGE_INTESTINE	0.556058291106897		0.869094638120967	0.552077865574425	0.5390136052567173	0.9685620813985852
CAS1_CENTRAL_NERVOUS_SYSTEM	0.6527542301024528	0.6440863229717639	0.8734236060034387	0.8590755845755886	0.5457730401012582	0.9261707325388726
CASKI_CERVIX	0.2805299331821741		0.917389319186612	0.4465857277187643	0.3582851358857111	0.6808339585238403
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	0.6237342007486001	0.5755507235164372	0.9545032971522502		0.6796072276395982	0.7361631816964495
CCK81_LARGE_INTESTINE	0.5251503850869957	0.1582184559540959	0.8425175322178249	0.6075102544438474	0.8450685568061583	0.9573896238237344
CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1939150756151273		0.7078438337344279	0.1861507205580348	0.0475163189650267	0.56009365353139
CGTHW1_THYROID	0.2451704093682442	0.1744457043317504	0.7892809849477458	0.6069334318023472	0.1959722173635572	0.7076981263045884
CHAGOK1_LUNG	0.7361571236159857	0.4423985904963676	1.0400167461721328		0.4045009481439013	0.6704372718641937
CHL1_SKIN	0.4908452269383533		0.9322914885824132	0.7931394420869389	0.1577374344472591	0.7577176463843369
CHP126_AUTONOMIC_GANGLIA	0.1998429847630576	0.1851618307229886	0.6043173451060201		0.3202853656469457	0.5135021049426892
CHP134_AUTONOMIC_GANGLIA	0.3797109659398813		0.7906693269083621	0.3739756727106439		0.3783773210530999
CHP212_AUTONOMIC_GANGLIA	0.2812330072807368	0.2031528801760107	0.6700420572178442	0.4483767248692223	0.2375380975915115	0.6472501744979431
CHSA0108_BONE	0.7971023689491925				0.4916331009079362	
CHSA8926_BONE	0.882179676946234		0.8464064321941404	0.851703963974466	0.6304765917741301	0.7716753009855333
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1217990558804812	0.2362376611904061	1.156015999813328		0.0963568231024238	
CJM_SKIN	0.2488315876238674	0.2625952308196612	0.6680680633752347		0.2034479247934043	
CL11_LARGE_INTESTINE	0.4934791451614512	0.3668817221593075	0.9193214217260416	0.6777482832049043	0.7135514589276096	0.841949785357957
CL34_LARGE_INTESTINE	0.2428553765938466	0.1728570437089644	0.8227857021331184	0.5764956281050316	0.2348848689939108	
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0434724570071825	0.0753502421693617	0.6713404582431076		0.1820332650498687	0.6150108665712813
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0261864432838858	0.0633473192806227	0.5413333577883505	0.0788688417586208	0.0368562191553026	0.5841419732523967
COLO205_LARGE_INTESTINE	0.512306575655158	0.602744848346201	0.8131755615774636	0.7885124318176695	0.3463029237874621	0.9124408526181796
COLO320_LARGE_INTESTINE	0.6595163590037869	0.2716987662654317	0.7757036082014557		0.8802382176431509	
COLO668_LUNG	0.1438078606209997	0.1395054835432697	0.7404836954633134	0.4170420182458411	0.1766853763124967	0.777553416585854
COLO678_LARGE_INTESTINE	0.7603652322494745	0.6792982565274699	0.8406842487772233	0.9690586243602686	0.8500303592666251	0.982587446469783
COLO679_SKIN	0.2241086309159844		0.9940928404278664	0.6455041181908905	0.1332061408235052	0.7715763540847078
COLO680N_OESOPHAGUS	0.5662834581428111	0.4513031914462321	0.9393438780060306	0.8594851548258425	0.556489609577973	0.9001307530505072
COLO684_ENDOMETRIUM	0.5854089099157775	0.1916085044086027	0.7968239222602564	0.810527674815364	0.5980427979867089	0.8524205186295799
COLO699_LUNG	0.6114853918792822	0.2868674029507224	0.8242583482964383		0.7507022417470786	
COLO741_SKIN	0.3501209073278964	0.2348418798646504	0.9720023150184862			
COLO783_SKIN	0.9982458378992086		0.8951828151922275		0.952001229962532	0.7660516479475612
COLO792_SKIN	0.7674816611868577	0.8357975065142871	0.8883989328781823	0.9677714338095584	0.8072410502450815	0.7267043500829194
COLO800_SKIN	0.2520126818132943	0.5313861152625995	0.539372167557227		0.3027431886908108	0.7772374270995356
COLO824_BREAST	0.8062165880910062		1.0012378460436735	0.8922348285947967	0.7604682788337148	0.9527607497841946
COLO829_SKIN	0.6993931925820478	0.5794519810048407	0.8228624995807584	0.7015011317648846	0.4729069878697996	0.7980002586205552
CORL279_LUNG	0.1003921531581427	0.0378330596282869	0.474345704938082	0.2132632968181795	0.153296527078115	0.3696719687076183
CORL311_LUNG	0.1501473237511034		0.7907617558408047	0.3826686093716746		0.4762856174499931
CORL321_LUNG			0.8203605006220391			0.8725593303768903
CORL47_LUNG			0.6918093586140919		0.452230988166065	
CORL88_LUNG	0.6377751175531409	0.5822122308305911	0.846558316261031	0.7502937828055255	0.7619245176090172	0.975948080834661
CORL95_LUNG	0.4635655025110639	0.3913430904110807	0.9024275146258324	0.4390397218756937	0.5212700362992089	0.7903244394942062
COV362_OVARY	0.75346216109507	0.5264586825637777	0.5481672116257194		0.6608092898612663	
COV434_OVARY	0.404368357097568	0.21205233827864	0.6098979794364943		0.3885358073681154	
COV644_OVARY	0.8026520919702652	0.6272303766532532	0.8756906036869568		0.9709985766273714	
CP50MELB_SKIN	0.8084093136721854		1.0120477667442525		1.072936623602964	0.8314716356653068
CP66MEL_SKIN	1.071356453453833		0.9772572012041836	0.8075399791700139	0.4951667204755747	0.7867761168371178
CPCN_LUNG	0.5571093693962961		0.929220420858026	0.811612960491516	0.647783522482025	0.8286334837751437
CROAP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE			0.7393391299756747			0.3237235879265767
CS1_BONE	0.4926093293853638		0.7904172572016364	0.5920913951431459	0.5697028355337268	0.6765250195718437
CTB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2549085959279329		0.6708761790615025		0.3715862403212378	0.5288598083593345
CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0392328332849203		0.8235869706851029	0.1923243891043416	0.0663435723716672	0.5819525714722077
D247MG_CENTRAL_NERVOUS_SYSTEM	0.5989820861450015		0.7225464347081687		0.6402020563506979	0.7179117705300593
D263MG_CENTRAL_NERVOUS_SYSTEM	0.7412508475466286		0.9340835529596184	0.6677400161832241	1.0390929734087375	0.7166608966246111
D283MED_CENTRAL_NERVOUS_SYSTEM	0.1817957571768207	0.0382365908472184	0.5398062807123606	0.2811279769957983	0.1907240265503278	0.4781743644625357
D423MG_CENTRAL_NERVOUS_SYSTEM	0.2100568576860407		0.6703754406302251		0.1164815761015483	0.7351726233601588
D502MG_CENTRAL_NERVOUS_SYSTEM	1.2160765165916303		1.0628430391209898		0.9769305458720802	0.7917899355563845
D542MG_CENTRAL_NERVOUS_SYSTEM	0.8777830199627863		1.0215201459484262		0.9063869050850776	0.7787182323276362
D566MG_CENTRAL_NERVOUS_SYSTEM	0.307240092637863		0.575582112608046		0.2065422109080276	0.4917129569826113
DANG_PANCREAS	0.6362253620416859	0.3901157318190541	0.8551506039690017	0.7305270451693439	0.6888426893314432	0.8890010701153749
DAOY_CENTRAL_NERVOUS_SYSTEM	0.150077489039366	0.2322009317236053	0.7600328067317105	0.3137664789488975	0.1773045467901693	0.338480538567508
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3084170962695065	0.0876726740524718	0.6143045608782236	0.4128484889088864	0.2980129916592033	0.6634272435899509
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	0.5230110400082171	0.8167540467419302	0.9128836922303364	0.7574321003325066	0.5309894353537248	0.8357418324424498
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2505755597504172	0.1801177038596803	0.7157132418890422	0.2321014737805315	0.3146644124301633	0.5994118935907933
DETROIT562_UPPER_AERODIGESTIVE_TRACT	0.4095784992356368	0.3386713974187311	0.8958086947412073	0.5945025787299907	0.6265165045664026	0.8495140764383209
DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5246526285376838		0.9610655425323926	0.7042065166521714	0.8316345387675345	0.8817707873098101
DIFI_LARGE_INTESTINE	0.6583657034788926		1.0149193044653304	0.7511622994245871		0.8806908100294129
DJM1_SKIN	0.2333984597230328		0.836480449872172		0.2306177957804399	0.8498590102153084
DLD1_LARGE_INTESTINE	0.4600625229373385	0.145196235677564	1.0571182397938608		0.6595086363366875	
DMS114_LUNG	0.5662071241035757	0.2267792485722548	0.8417364248812814	0.7888999155138442	0.7531709087799731	0.791844591084186
DMS273_LUNG	0.3612641929533563	0.2261004690868374	0.7108031453157553	0.646118903432619	0.3010502311787167	0.7087422976427701
DMS454_LUNG	0.6422268217054263	0.4804936329188164	0.4989624580404079		0.5303590956722242	
DMS53_LUNG	0.4563091214100132	0.1473738998997267	0.8707714676410014	0.4541233541987299	0.5946660207529383	0.8776208581913072
DMS79_LUNG	0.7131364830559356	0.3900253701615099	0.7576395515277877	0.3145986574512242	0.6696630906387259	0.7577129951505672
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0760930592328774	0.0685287426112668	0.7377616402390119	0.2315780259409237	0.0952214478915196	0.7494666347440639
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.208728240192711		0.3891436253755201	0.0784836677383068	0.1255750000539524	0.4164541693930533
DOK_UPPER_AERODIGESTIVE_TRACT	0.6815521552264114		0.8382925912623518	0.6029516739485263	0.7829884890372301	0.78262464686976
DOTC24510_CERVIX	0.3316833694322607		0.8595888867539986	0.6224290876717428	0.1674191680084441	0.9171619244781974
DOV13_OVARY	0.2127686365577321	0.2846299993332925	0.8884516198494797	0.5036883132534327	0.3927895938946696	0.783705252989191
DSH1_URINARY_TRACT	0.2758423686024936		0.9328742089381972	0.4321688284838503	0.2937736804427915	0.904337814881976
DU145_PROSTATE	0.3298964500050685	0.4416371514370322	0.9200764582401508	0.488701303462551	0.28797311217271	0.7435966035066086
DU4475_BREAST	0.2046594412801227	0.0677630416039395	0.5954436473469313	0.2864810677549799	0.1015326860866189	0.7424433305667093
DV90_LUNG	0.2895629984604124	0.2510352337568858	0.68109136805041		0.2991525880437756	
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1300366282311585	0.0979560315306671	0.565349850495515		0.1226871978210759	
EB3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.6188793204522556		0.933769351252175	0.6228280599097555	0.7642222942098772	0.8261769829093778
ECC10_STOMACH	0.4541088077581288		0.7528145758185044	0.5598970291491798	0.3041254065112632	0.9076195974681712
ECC12_STOMACH	0.0323717795993818	0.0860009905699899	0.7205694004153458	0.7813202697614227	0.29551775032662	
ECGI10_OESOPHAGUS	0.5866405931664326	0.3434925270433193	0.9093453696015072	0.5504678822473678	0.6798730712609113	0.8109282912391003
EFE184_ENDOMETRIUM		0.6277256776803027			0.9886705827036116	
EFM19_BREAST	0.9316709399036692		0.911741775436972	0.9209148198249988	0.3274986742185125	0.96562583301598
EFO21_OVARY	0.5529670542905099	0.6004460088697386	0.924878523475374	0.8201634140142636	0.6611785308892163	0.9630067936158022
EFO27_OVARY	0.7071870941374442	0.3111239129371	0.8523275898820892	0.8214796028707398	0.5053623741651395	0.7055456995736328
EGI1_BILIARY_TRACT	0.653547283547425		0.8598816581169384	1.0469620406360656	0.4406082662070346	0.8745648281527487
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2719415930919082	0.2691826400502253	0.6078883013157061		0.4347422689536572	
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2495326866568227	0.148974705438277	0.8571061115764647	0.6397213168540407	0.3200294523646187	0.8933144758026508
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.1249390924150693	0.0566676779579933	0.7240985923722549	0.2183699280222576	0.1780119170954388	0.7977622282635939
EMCBAC1_LUNG			0.9239435925248224			0.7484448341024152
EMCBAC2_LUNG	0.334764962224984		0.7447571210008572	0.5834108823870184		0.7078606593515446
EN_ENDOMETRIUM	0.832956066404375	0.5564463657027641	0.97301972090518	0.9465120544599752	0.8167166046675086	0.8855140460234623
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.055624882572764	0.0174570419661125	0.5945279275382291	0.2351534649499775	0.0813160023086144	0.6663221335485943
EPLC272H_LUNG	0.3557425019135635	0.1688608740654711	0.8711294320951984	0.8364891568585789	0.403083491100529	0.6886002841096128
ES1_BONE	0.0557223962716379		0.4912421240452584	0.2061920550733407	0.0490070421307978	0.335588293219157
ES2_OVARY	0.3729979111894646	0.3816997163715561	0.9026919730432034	0.4057114936435764	0.6952645867066698	0.6157219117045047
ES4_BONE	0.0944334343904073		0.7744579322677605	0.3872744448562467	0.3828575390431651	0.410351417377028
ES7_BONE	0.1932279630956806		0.6181768989334857	0.1392973537773669	0.2197337654678934	0.3164826787673801
ESO51_OESOPHAGUS	0.3331588471287675		0.8369226721556313	0.6702537786045789		0.8386151690199334
ESS1_ENDOMETRIUM	0.1053541603175303	0.0822591793269529	0.7865235331484577	0.1652774157505151	0.0962455189561695	0.4416968310271889
ETK1_BILIARY_TRACT	0.3542061278910201		0.8642338393290309	0.7928309171929117	0.3271917153616388	0.8489337352058186
EVSAT_BREAST	0.6948224405070949		0.8975952325282885	0.8662089445899941	0.8713949750080974	0.8861114439981015
EW11_BONE	0.3587295690731821		0.6192497465769162	0.3414584468619534	0.457257764668815	0.4933071454417703
EW16_BONE	0.1041195129580601		0.7272370908265282	0.3139824933911536	0.0680186241033723	0.6790786937368571
EW18_BONE	0.5353418587279737		0.8573413555307382	0.7537696560850211	0.5681761077366569	0.8364128254049997
EW1_BONE	0.1129197468237876		0.5950062566881984	0.2329365895242912	0.2125817414852548	0.6010321528261067
EW22_BONE	0.1283616599818598		0.5875281886174364	0.1831224103569842		0.2974012021428054
EW24_BONE	0.6539386099064081		0.8929404219582661	0.437768376177764	0.8907800736774528	0.7950094347761645
EW3_BONE	0.3202969489860142		0.5176776033430595	0.2847775700070002	0.5992202313378149	0.2595685254244401
EW7_BONE	0.0445776420611657		0.8228334614431233	0.2992455472735046	0.1910806127758734	0.577436662189124
